State,Year,Count,Weapon
Montana,2002,13,Firearm
Montana,2003,22,Firearm
Montana,2004,29,Firearm
Nebraska,1998,25,Firearm
Nebraska,1999,26,Firearm
Nebraska,2000,29,Firearm
Nebraska,2001,19,Firearm
Nebraska,2002,23,Firearm
Nebraska,2003,21,Interpersonal Violence
Nebraska,2004,30,Firearm
Nevada,1998,184,Firearm
Nevada,1999,174,Firearm
Nevada,2000,135,Firearm
Nevada,2001,197,Firearm
Nevada,2002,191,Firearm
Nevada,2003,202,Firearm
Nevada,2004,187,Firearm
New Hampshire,1998,16,Interpersonal Violence
New Hampshire,1999,20,Knife or cutting instrument
New Hampshire,2000,15,Firearm
New Hampshire,2001,19,Firearm
New Hampshire,2002,14,Firearm
New Hampshire,2003,11,Firearm
New Hampshire,2004,14,Firearm
New Jersey,1998,334,Firearm
New Jersey,1999,296,Firearm
New Jersey,2000,298,Firearm
New Jersey,2001,355,Firearm
New Jersey,2002,349,Firearm
New Jersey,2003,421,Firearm
New Jersey,2004,418,Firearm
New Mexico,1998,157,Firearm
New Mexico,1999,147,Firearm
New Mexico,2000,126,Firearm
New Mexico,2001,98,Firearm
New Mexico,2002,149,Firearm
New Mexico,2003,113,Firearm
New Mexico,2004,158,Firearm
New York,1998,931,Firearm
New York,1999,925,Firearm
New York,2000,956,Firearm
New York,2001,949,Firearm
New York,2002,903,Firearm
New York,2003,917,Firearm
New York,2004,902,Firearm
North Carolina,1998,633,Firearm
North Carolina,1999,575,Firearm
North Carolina,2000,570,Firearm
North Carolina,2001,543,Firearm
North Carolina,2002,572,Firearm
North Carolina,2003,521,Firearm
North Carolina,2004,503,Firearm
North Dakota,1998,7,Firearm
North Dakota,1999,7,Firearm
North Dakota,2000,4,Firearm
North Dakota,2001,9,Firearm
North Dakota,2002,5,Firearm
North Dakota,2003,8,Firearm
North Dakota,2004,8,Firearm
Ohio,1998,377,Firearm
Ohio,1999,372,Firearm
Ohio,2000,372,Firearm
Ohio,2001,452,Firearm
Ohio,2002,504,Firearm
Ohio,2003,497,Firearm
Ohio,2004,495,Firearm
Oklahoma,1998,215,Firearm
Oklahoma,1999,254,Firearm
Oklahoma,2000,202,Firearm
Oklahoma,2001,215,Firearm
Oklahoma,2002,186,Firearm
Oklahoma,2003,232,Firearm
Oklahoma,2004,205,Firearm
Oregon,1998,140,Firearm
Oregon,1999,95,Firearm
Oregon,2000,71,Firearm
Oregon,2001,102,Firearm
Oregon,2002,76,Firearm
Oregon,2003,78,Firearm
Oregon,2004,105,Firearm
Pennsylvania,1998,628,Firearm
Pennsylvania,1999,596,Firearm
Pennsylvania,2000,604,Firearm
Pennsylvania,2001,657,Firearm
Pennsylvania,2002,625,Firearm
Pennsylvania,2003,661,Firearm
Pennsylvania,2004,696,Firearm
Rhodes Island,1998,25,Firearm
Rhodes Island,1999,36,Firearm
Rhodes Island,2000,45,Firearm
Rhodes Island,2001,40,Firearm
Rhodes Island,2002,41,Firearm
Rhodes Island,2003,25,Firearm
Rhodes Island,2004,30,Firearm
South Carolina,1998,310,Firearm
South Carolina,1999,278,Firearm
South Carolina,2000,288,Firearm
South Carolina,2001,333,Firearm
South Carolina,2002,311,Firearm
South Carolina,2003,308,Firearm
South Carolina,2004,293,Firearm
South Dakota,1998,6,Firearm
South Dakota,1999,14,Firearm
South Dakota,2000,8,Interpersonal Violence
South Dakota,2001,10,Firearm
South Dakota,2002,12,Other
South Dakota,2003,11,Knife or cutting instrument
South Dakota,2004,16,Firearm
Tennessee,1998,436,Firearm
Tennessee,1999,411,Firearm
Tennessee,2000,435,Firearm
Tennessee,2001,444,Firearm
Tennessee,2002,457,Firearm
Tennessee,2003,426,Firearm
Tennessee,2004,382,Firearm
Texas,1998,1448,Firearm
Texas,1999,1268,Firearm
Texas,2000,1308,Firearm
Texas,2001,1387,Firearm
Texas,2002,1383,Firearm
Texas,2003,1510,Firearm
Texas,2004,1431,Firearm
Utah,1998,66,Firearm
Utah,1999,58,Firearm
Utah,2000,54,Firearm
Utah,2001,82,Firearm
Utah,2002,57,Firearm
Utah,2003,61,Firearm
Utah,2004,58,Firearm
Vermont,1998,12,Interpersonal Violence
Vermont,1999,20,Firearm
Vermont,2000,10,Knife or cutting instrument
Vermont,2001,7,Firearm
Vermont,2002,13,Firearm
Vermont,2003,15,Firearm
Vermont,2004,16,Knife or cutting instrument
Virginia,1998,421,Firearm
Virginia,1999,376,Firearm
Virginia,2000,398,Firearm
Virginia,2001,377,Firearm
Virginia,2002,391,Firearm
Virginia,2003,419,Firearm
Virginia,2004,392,Firearm
Washington,1998,215,Firearm
Washington,1999,182,Firearm
Washington,2000,203,Firearm
Washington,2001,199,Firearm
Washington,2002,208,Firearm
Washington,2003,204,Firearm
Washington,2004,208,Firearm
West Virginia,1998,81,Firearm
West Virginia,1999,69,Firearm
West Virginia,2000,64,Firearm
West Virginia,2001,40,Firearm
West Virginia,2002,76,Firearm
West Virginia,2003,65,Firearm
West Virginia,2004,66,Firearm
Wisconsin,1999,200,Firearm
Wisconsin,2000,172,Firearm
Wisconsin,2001,198,Firearm
Wisconsin,2002,166,Firearm
Wisconsin,2003,193,Firearm
Wisconsin,2004,160,Firearm
Wyoming,1998,17,Firearm
Wyoming,1999,13,Interpersonal Violence
Wyoming,2000,12,Interpersonal Violence
Wyoming,2001,11,Firearm
Wyoming,2002,16,Firearm
Wyoming,2003,17,Firearm
Wyoming,2004,13,Firearm
